"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.377483292E0,4.208624829E-3,-5.563077517E-5,-1.148334682E-2
2.387469292E0,1.166968114E-2,-3.697541635E-3,-9.387704730E-3
2.397455292E0,-7.508199485E-3,-7.034163885E-3,-1.088459194E-2
2.407441292E0,-9.480054192E-3,-6.454695677E-3,-1.492618740E-2
2.417427292E0,8.620714489E-4,-1.076472402E-2,-7.741128802E-3
2.427414292E0,-6.188236233E-3,-2.777683251E-3,-1.148393154E-2
2.437400292E0,5.449970439E-4,-9.249454625E-3,-1.672245204E-2
2.447386292E0,-1.594078895E-3,-6.761975996E-3,-1.357898891E-2
2.457372292E0,-6.271166196E-3,-9.978565872E-3,-4.597665668E-3
2.467358292E0,-4.737752164E-3,-1.522260468E-2,-8.039921522E-3
2.477344292E0,4.235120025E-3,-7.573194942E-3,-1.657217860E-2
2.487330292E0,7.171884086E-4,-3.844023524E-3,-2.951089740E-3
2.497316292E0,1.464207667E-2,-9.374511950E-3,-2.285968959E-2
2.507302292E0,1.116891280E-2,7.884385586E-3,-1.836961269E-2
2.517288292E0,1.090843761E-3,-1.061060420E-2,-8.339298964E-3
2.527274292E0,2.733025141E-3,-8.546080263E-3,-1.088342249E-2
2.537260292E0,7.101087095E-3,-2.126796786E-3,-1.417657435E-2
2.547246292E0,-9.644772084E-3,-1.139961286E-2,-2.345727503E-2
2.557232292E0,1.586249107E-3,-4.552130476E-3,-1.282879114E-2
2.567219292E0,-2.024443103E-3,-2.036091853E-3,-2.450451136E-2
2.577205292E0,3.933906192E-3,4.808814107E-3,-2.600139856E-2
2.587191292E0,5.238940772E-3,-3.385766270E-3,-6.991515756E-3
2.597177292E0,-1.708556414E-3,-2.497903118E-3,-1.657159388E-2
2.607163292E0,-4.026173428E-4,3.813298233E-4,-1.253116786E-2
2.617149292E0,6.515122997E-3,1.199592836E-5,-1.836785853E-2
2.627135292E0,-3.807204338E-3,-9.718328230E-3,-2.420571864E-2
2.637121292E0,5.421510944E-3,-1.754529233E-2,-2.650542855E-3
2.647107292E0,-1.458149403E-4,-1.367772463E-2,-2.106225550E-2
2.657093292E0,-3.034449108E-3,-5.055118930E-3,-1.073373377E-2
2.667079292E0,9.708936140E-3,-3.859080104E-3,-1.267968714E-2
2.677065292E0,1.200451646E-3,-2.408139221E-4,-2.050618529E-3
2.687051292E0,1.111592241E-3,-8.598577296E-3,-1.836610436E-2
2.697037292E0,-1.999903070E-3,-1.109686414E-2,-6.989761591E-3
2.707024292E0,8.853789987E-3,-1.937483129E-2,-6.841827035E-3
2.717010292E0,-2.440819675E-3,4.561431203E-3,-2.046350062E-2
2.726996292E0,-4.331251904E-3,-4.486458935E-4,-2.016470790E-2
2.736982292E0,6.302841660E-3,1.715161940E-3,-2.555291712E-2
2.746968292E0,5.374769764E-3,-1.083769544E-2,-3.169015467E-2
2.756954292E0,1.227317775E-2,1.894561825E-3,-6.692138314E-3
2.766940292E0,-2.078648619E-3,-2.460966988E-2,-5.549007654E-4
2.776926292E0,-7.681441521E-3,-1.009785821E-2,-1.537466884E-2
2.786912292E0,-7.623965219E-3,-2.124266038E-3,-9.685912728E-3
2.796898292E0,7.619223492E-3,-1.006136793E-2,-1.687155604E-2
2.806884292E0,-4.356559385E-3,-1.294477615E-2,-6.093383431E-3
2.816869917E0,-6.972375261E-3,-2.496742811E-3,-1.791937709E-2
2.826855917E0,1.860383023E-3,1.581973331E-3,-2.001501918E-2
2.836841917E0,-1.718944358E-3,-7.497418681E-3,-2.061435878E-2
2.846827917E0,1.130604828E-3,7.965013208E-3,-9.238016009E-3
2.856814917E0,-5.747054676E-3,-6.859670179E-3,-1.193241298E-2
2.866800917E0,1.194527686E-2,-1.786963921E-4,-2.615225673E-2
2.876786917E0,1.115886290E-2,-3.276469018E-3,-2.480564296E-2
2.886772917E0,-3.379964735E-4,-8.076594528E-3,-2.300937831E-2
2.896758917E0,-3.292347863E-4,-2.746756962E-3,-2.315848231E-2
2.906744917E0,-1.373172915E-3,-1.562271869E-2,-1.747031093E-2
2.916730917E0,-3.679872081E-3,1.585783157E-3,-2.315731287E-2
2.926716917E0,-7.351229154E-3,3.196901204E-3,-2.240945399E-2
2.936702917E0,3.617206374E-3,-9.575683577E-3,-6.092798710E-3
2.946688917E0,1.180891796E-2,-8.262755256E-3,-1.881633997E-2
2.956674917E0,4.051078912E-3,-7.550701434E-3,-1.612252772E-2
2.966660917E0,-4.096193835E-3,2.709142920E-3,-5.943694711E-3
2.976646917E0,-4.127878435E-3,-7.225514017E-3,-2.480564296E-2
2.986632917E0,3.618147410E-3,-1.156346281E-2,-1.836902797E-2
2.996618917E0,-8.405719679E-3,4.793474302E-3,-2.136221766E-2
3.006605917E0,6.234931732E-3,2.691263231E-3,-2.495533168E-2
3.016591917E0,1.257717814E-2,6.228728201E-3,-1.522556484E-2
3.026577917E0,-2.201869553E-3,6.962699946E-3,-2.211066127E-2
3.036563917E0,-3.796094628E-3,-3.005879978E-3,-1.776851892E-2
3.046549917E0,6.432074262E-3,-9.456500877E-3,-1.073314905E-2
3.056535917E0,1.017088445E-2,6.506461808E-3,-1.013497889E-2
3.066521917E0,3.186632032E-3,-7.825273890E-3,-2.285968959E-2
3.076507917E0,7.189389188E-3,-2.140208837E-3,-1.507587612E-2
3.086493917E0,-1.953975018E-3,-2.174221359E-2,-4.149184227E-3
3.096479917E0,-1.627958028E-2,-3.552521551E-3,-8.041090965E-3
3.106465917E0,9.382040240E-4,7.703204127E-3,-1.627397060E-2
3.116451917E0,2.107199477E-3,-7.047813479E-3,-1.612545133E-2
3.126437917E0,-6.237160983E-3,-1.171087660E-4,-6.096307039E-3
3.136423917E0,7.015644656E-3,-1.550857008E-2,-1.657510221E-2
3.146410917E0,1.730419518E-3,-1.042787871E-2,-1.238440275E-2
3.156396917E0,2.282934346E-2,-1.623079257E-2,-1.582724333E-2
3.166382917E0,8.482345613E-3,-5.104180723E-3,-1.927066863E-2
3.176368917E0,6.217490584E-3,2.747204639E-3,-9.391797781E-3
3.186354917E0,-2.086067274E-3,-1.333659441E-2,2.133064270E-3
3.196340917E0,5.522608389E-3,-7.885847390E-3,-5.351956487E-3
3.206326917E0,5.756254904E-3,2.751480415E-3,-1.088985443E-2
3.216312917E0,5.460815197E-3,-1.001554951E-3,3.330574036E-3
3.226298917E0,-8.411018718E-3,-2.459740900E-3,-1.822460175E-2
3.236284917E0,-1.268526027E-3,-6.423166394E-4,-1.014199555E-2
3.246270917E0,8.029131582E-3,-2.209050665E-3,-1.552962005E-2
3.256256917E0,9.030823577E-3,-4.117280357E-3,-1.343514740E-2
3.266242917E0,-7.089557117E-3,1.966290716E-3,-8.612948656E-4
3.276228917E0,2.049129317E-3,-5.908200284E-3,-1.358542085E-2
3.286214917E0,6.061840444E-3,-1.129280068E-3,-1.343573213E-2
3.296201917E0,-1.181964395E-3,1.036461001E-2,-5.652503371E-3
3.306187917E0,3.575494713E-3,-1.733544124E-3,-2.361514986E-2
3.316173917E0,4.618121786E-3,-8.181488095E-3,-1.882511079E-2
3.326159917E0,8.863844457E-3,-6.602602825E-3,-2.586106539E-2
3.336145917E0,1.738025010E-2,-7.218945036E-3,-2.526231050E-2
3.346131917E0,2.614472844E-3,-4.511903459E-3,-2.122013032E-2
3.356117917E0,-2.330001234E-3,-8.002837384E-3,-1.777728975E-2
3.366103917E0,4.516499005E-3,-6.999838902E-3,2.281583548E-3
3.376089917E0,-2.405850585E-3,-7.179695601E-3,-1.957296968E-2
3.386075917E0,4.739442375E-4,-8.943827972E-3,-5.625021458E-4
3.396061917E0,2.207951571E-2,-7.842651084E-3,-1.373686373E-2
3.406047917E0,3.165033879E-4,-1.040258037E-2,-1.268904269E-2
3.416033917E0,3.529470731E-3,-2.485094061E-3,-2.047227144E-2
3.426019917E0,4.123849338E-3,5.512371194E-4,-9.695268273E-3
3.436005917E0,4.874156741E-3,3.701196145E-4,-1.014374971E-2
3.445991917E0,7.101836270E-3,8.703233320E-3,-1.119157076E-2
3.455978917E0,3.403166304E-3,-9.858524362E-3,-2.810581148E-2
3.465964917E0,8.888453012E-4,-3.223825805E-4,-2.660833955E-2
3.475950917E0,-6.233483632E-3,-2.412816994E-3,-6.998532414E-3
3.485936917E0,-3.974526068E-3,-6.030973541E-3,-7.896664739E-3
3.495922917E0,1.801874321E-3,-1.951544769E-3,-1.852397919E-2
3.505908917E0,9.868044360E-4,-3.668881143E-3,-1.837429047E-2
3.515894917E0,3.032978168E-3,2.314729951E-3,-2.956936955E-3
3.525880917E0,-6.846463694E-3,-8.714626255E-3,-1.807549775E-2
3.535866917E0,9.821403679E-4,-7.558686538E-3,-1.837429047E-2
3.545852917E0,4.160709637E-3,1.174824396E-3,-1.552903533E-2
3.555838917E0,8.028122024E-3,-2.661277978E-3,-1.044020355E-2
3.565824917E0,-9.607048407E-3,7.799884183E-3,-1.283522308E-2
3.575810917E0,-5.026970068E-3,-6.107270569E-3,-1.148743987E-2
3.585796917E0,1.991648446E-3,3.012741320E-3,-2.151658416E-2
3.595782917E0,1.933980281E-3,2.576712621E-3,-1.283522308E-2
3.605769917E0,-3.005149076E-3,7.247258350E-4,-1.493028045E-2
3.615755917E0,-6.606755261E-3,6.068222132E-4,-1.702650726E-2
3.625741917E0,-1.662747134E-3,-3.868965553E-3,-2.451094329E-2
3.635727917E0,-8.942818413E-3,-1.194362319E-2,-1.552903533E-2
3.645713917E0,1.125700932E-2,9.014487918E-4,-2.241471648E-2
3.655699917E0,3.795039388E-3,-1.095305918E-2,-1.253467619E-2
3.665685917E0,-4.942779299E-3,-8.866489409E-3,-2.106751800E-2
3.675671917E0,2.693510754E-3,-6.027401257E-3,-1.328370452E-2
3.685657917E0,1.415528683E-4,-1.055952329E-3,-1.073782682E-2
3.695643917E0,3.911348730E-3,-1.072383919E-2,-1.777378142E-2
