"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.968054292E0,-7.963439941E-2,7.903564453E-2,9.799372101E0
1.978040292E0,-8.113128662E-2,7.873626709E-2,9.789941711E0
1.988026292E0,-7.244934082E-2,8.801696777E-2,9.801018677E0
1.998012292E0,-7.634124756E-2,7.918533325E-2,9.796827393E0
2.007999292E0,-7.873626709E-2,8.008346558E-2,9.785301361E0
2.017985292E0,-7.679031372E-2,7.828720093E-2,9.806557159E0
2.027971292E0,-7.469467163E-2,6.840774536E-2,9.779762878E0
2.037957292E0,-7.065307617E-2,8.083190918E-2,9.794282684E0
2.047943292E0,-7.888595581E-2,7.304809570E-2,9.801018677E0
2.057929292E0,-8.412506104E-2,7.634124756E-2,9.773026886E0
2.067915292E0,-8.367599487E-2,6.735992432E-2,9.813293152E0
2.077901292E0,-8.292755127E-2,6.900650024E-2,9.776170349E0
2.087887292E0,-7.050338745E-2,8.936416626E-2,9.795031128E0
2.097873292E0,-8.113128662E-2,8.098159790E-2,9.807904358E0
2.107859292E0,-8.771759033E-2,7.963439941E-2,9.778565369E0
2.117845292E0,-6.960525513E-2,8.891510010E-2,9.790690155E0
2.127831292E0,-7.933502197E-2,7.394622803E-2,9.784253540E0
2.137817292E0,-7.843688965E-2,8.457412720E-2,9.811197510E0
2.147804292E0,-6.990463257E-2,8.966354370E-2,9.795929260E0
2.157790292E0,-8.008346558E-2,7.843688965E-2,9.773775330E0
2.167776292E0,-7.679031372E-2,7.694000244E-2,9.793384552E0
2.177762292E0,-6.780899048E-2,8.083190918E-2,9.796228638E0
2.187748292E0,-6.885681152E-2,7.768844604E-2,9.796977081E0
2.197734292E0,-6.466552734E-2,7.110214233E-2,9.801916809E0
2.207720292E0,-7.634124756E-2,7.679031372E-2,9.795031128E0
2.217706292E0,-7.454498291E-2,8.113128662E-2,9.790241089E0
2.227692292E0,-7.574249268E-2,8.517288208E-2,9.785750427E0
2.237678292E0,-7.349716187E-2,7.649093628E-2,9.799970856E0
2.247664292E0,-6.945556641E-2,7.888595581E-2,9.794282684E0
2.257650292E0,-6.810836792E-2,6.526428223E-2,9.790839844E0
2.267636292E0,-7.200027466E-2,7.933502197E-2,9.787097626E0
2.277622292E0,-7.559280396E-2,7.349716187E-2,9.782008209E0
2.287609292E0,-7.454498291E-2,6.990463257E-2,9.786947937E0
2.297595292E0,-7.170089722E-2,8.053253174E-2,9.790390778E0
2.307581292E0,-9.250762939E-2,8.292755127E-2,9.790540466E0
2.317567292E0,-7.244934082E-2,8.397537231E-2,9.796827393E0
2.327553292E0,-7.080276489E-2,6.256988525E-2,9.789792023E0
2.337539292E0,-8.666976929E-2,7.409591675E-2,9.797575836E0
2.347525292E0,-7.708969116E-2,7.424560547E-2,9.823471985E0
2.357511292E0,-7.080276489E-2,7.229965210E-2,9.780810699E0
2.367497292E0,-7.304809570E-2,7.214996338E-2,9.794881439E0
2.377483292E0,-7.304809570E-2,8.128097534E-2,9.797875214E0
2.387469292E0,-6.556365967E-2,7.768844604E-2,9.799970856E0
2.397455292E0,-8.472381592E-2,7.439529419E-2,9.798473969E0
2.407441292E0,-8.666976929E-2,7.499404907E-2,9.794432373E0
2.417427292E0,-7.634124756E-2,7.065307617E-2,9.801617432E0
2.427414292E0,-8.337661743E-2,7.858657837E-2,9.797875214E0
2.437400292E0,-7.664062500E-2,7.214996338E-2,9.792636108E0
2.447386292E0,-7.873626709E-2,7.469467163E-2,9.795779572E0
2.457372292E0,-8.337661743E-2,7.155120850E-2,9.804760895E0
2.467358292E0,-8.187973022E-2,6.631210327E-2,9.801318054E0
2.477344292E0,-7.289840698E-2,7.394622803E-2,9.792785797E0
2.487330292E0,-7.634124756E-2,7.768844604E-2,9.806407471E0
2.497316292E0,-6.242019653E-2,7.214996338E-2,9.786498871E0
2.507302292E0,-6.586303711E-2,8.936416626E-2,9.790989532E0
2.517288292E0,-7.604187012E-2,7.095245361E-2,9.801018677E0
2.527274292E0,-7.439529419E-2,7.304809570E-2,9.798473969E0
2.537260292E0,-7.005432129E-2,7.948471069E-2,9.795180817E0
2.547246292E0,-8.681945801E-2,7.020401001E-2,9.785900116E0
2.557232292E0,-7.559280396E-2,7.708969116E-2,9.796528015E0
2.567219292E0,-7.918533325E-2,7.963439941E-2,9.784852295E0
