"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.926716917E0,-1.954121981E-4,-4.953783937E-4,5.610263906E-5
2.936702917E0,5.542676663E-4,4.881271161E-4,1.562374528E-4
2.946688917E0,-2.622214379E-4,-1.179505605E-3,4.207571037E-4
2.956674917E0,-9.455885738E-4,7.054796442E-4,-2.851820318E-5
2.966660917E0,-1.010239939E-3,7.976298220E-4,-1.426596660E-3
2.976646917E0,-9.820103878E-4,-6.085191853E-4,3.814196680E-5
2.986632917E0,3.935361747E-6,-3.109876998E-4,-1.591724344E-3
2.996618917E0,4.548085853E-4,-1.329913037E-3,-2.004889830E-4
3.006605917E0,1.743122702E-3,-4.293676466E-4,-5.952109350E-4
3.016591917E0,8.339702617E-6,-6.594646256E-4,-9.912229143E-4
3.026577917E0,6.504604826E-4,1.279851422E-4,6.528323865E-4
3.036563917E0,2.376704942E-4,3.069499508E-4,-6.744870916E-4
3.046549917E0,-2.975166426E-4,6.891074590E-4,1.807470690E-4
3.056535917E0,-1.081551192E-3,-9.596557356E-4,1.250009518E-6
3.066521917E0,-4.988881992E-4,-1.206769375E-3,1.449247939E-4
3.076507917E0,4.446697421E-4,2.140272409E-4,8.309550467E-4
3.086493917E0,1.621013507E-4,9.635696188E-5,-6.496120477E-4
3.096479917E0,1.663623843E-4,-1.874648500E-3,-1.674396452E-3
3.106465917E0,-8.109176997E-4,-1.427987590E-4,-2.570733486E-4
3.116451917E0,-9.707073332E-4,-1.191551564E-3,-1.579599106E-3
3.126437917E0,-4.727559281E-4,3.673201427E-4,-9.271063609E-4
3.136423917E0,-1.043471391E-3,-9.384276345E-4,6.851713406E-4
3.146410917E0,1.601249911E-3,-2.958239056E-4,5.882643163E-4
3.156396917E0,-3.446370829E-5,9.299768135E-5,-4.503541277E-5
3.166382917E0,-5.750905257E-5,2.344902605E-4,-8.501092088E-5
3.176368917E0,-4.908053670E-4,-1.051284140E-3,2.175241825E-4
3.186354917E0,-9.271339513E-5,-6.753173657E-4,-1.055072295E-3
3.196340917E0,4.186134902E-4,6.032660604E-4,-1.811409951E-3
3.206326917E0,1.831242698E-4,-1.153473742E-3,-1.035248511E-3
3.216312917E0,9.791429620E-4,7.288483903E-4,-1.059749629E-3
3.226298917E0,-4.033235600E-4,-8.983223233E-4,-5.172772217E-4
3.236284917E0,3.023905447E-5,-2.690171823E-4,7.543822285E-4
3.246270917E0,2.963184961E-4,-7.838341407E-4,1.753163990E-3
3.256256917E0,-8.445797139E-4,5.850307643E-4,9.938968578E-4
3.266242917E0,-9.087927174E-5,1.898632385E-3,-1.725468202E-3
3.276228917E0,7.607996231E-4,-6.454854738E-4,-5.427583237E-4
3.286214917E0,-1.949951402E-4,-9.716472123E-4,-1.536875148E-3
3.296201917E0,-1.089750440E-4,-8.717784658E-4,-2.144342288E-3
3.306187917E0,5.976296961E-4,-1.415023580E-4,-4.511824809E-4
3.316173917E0,2.460924443E-4,-1.152704470E-3,4.215353983E-4
3.326159917E0,8.538932889E-4,-9.148225654E-4,-1.044385135E-3
3.336145917E0,5.644076155E-4,9.256880730E-4,-1.076076645E-3
3.346131917E0,1.706724870E-4,1.279149204E-3,-6.474020192E-4
3.356117917E0,7.653564098E-4,-2.750717103E-4,-3.989290562E-4
3.366103917E0,1.426955569E-4,-9.388043545E-4,-6.989862304E-4
3.376089917E0,-1.183558721E-3,-6.594387814E-4,1.191858086E-3
3.386075917E0,1.270390581E-3,1.064599492E-4,-1.885962673E-3
3.396061917E0,-4.835673899E-4,-4.946151748E-4,-1.461195352E-4
3.406047917E0,1.140111242E-3,-1.592119224E-4,-1.099526882E-3
3.416033917E0,4.575429484E-4,5.361395888E-4,-7.663655560E-4
