"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.738374292E0,-7.654017623E-2,8.143114829E-2,9.809363238E0
1.748361292E0,-7.650552234E-2,8.137526169E-2,9.809364408E0
1.758347292E0,-7.651404192E-2,8.135810377E-2,9.809364408E0
1.768333292E0,-7.656562989E-2,8.133435859E-2,9.809363823E0
1.778319292E0,-7.666522899E-2,8.129880935E-2,9.809363823E0
1.788305292E0,-7.674470544E-2,8.129338240E-2,9.809363238E0
1.798291292E0,-7.677026873E-2,8.127445204E-2,9.809362653E0
1.808277292E0,-7.679889268E-2,8.120409359E-2,9.809363238E0
1.818263292E0,-7.678599226E-2,8.116846212E-2,9.809363823E0
1.828249292E0,-7.678142413E-2,8.111048332E-2,9.809364408E0
1.838235292E0,-7.677444401E-2,8.098878815E-2,9.809364992E0
1.848221292E0,-7.682639287E-2,8.100551667E-2,9.809364408E0
1.858207292E0,-7.677230612E-2,8.101891045E-2,9.809364992E0
1.868193292E0,-7.684056323E-2,8.098194508E-2,9.809364992E0
1.878180292E0,-7.682963625E-2,8.103170123E-2,9.809364408E0
1.888166292E0,-7.674060325E-2,8.101148265E-2,9.809365577E0
1.898152292E0,-7.671021600E-2,8.099288120E-2,9.809365577E0
1.908138292E0,-7.666606952E-2,8.094610347E-2,9.809366162E0
1.918124292E0,-7.674280509E-2,8.087738955E-2,9.809366162E0
1.928110292E0,-7.677606113E-2,8.094088666E-2,9.809365577E0
1.938096292E0,-7.679674566E-2,8.098532550E-2,9.809364992E0
1.948082292E0,-7.678129622E-2,8.096204627E-2,9.809365577E0
1.958068292E0,-7.674692555E-2,8.095012343E-2,9.809365577E0
1.968054292E0,-7.676113246E-2,8.097507460E-2,9.809365577E0
1.978040292E0,-7.686626357E-2,8.092691730E-2,9.809364992E0
1.988026292E0,-7.684324929E-2,8.092585749E-2,9.809364992E0
1.998012292E0,-7.688333013E-2,8.097654554E-2,9.809364408E0
2.007999292E0,-7.693587285E-2,8.095947898E-2,9.809364408E0
2.017985292E0,-7.697923360E-2,8.092115231E-2,9.809364408E0
2.027971292E0,-7.700113325E-2,8.098831306E-2,9.809363238E0
2.037957292E0,-7.701080857E-2,8.097124650E-2,9.809363823E0
2.047943292E0,-7.710130337E-2,8.098775575E-2,9.809362653E0
2.057929292E0,-7.714490167E-2,8.101077916E-2,9.809362069E0
2.067915292E0,-7.720420523E-2,8.108006867E-2,9.809360899E0
2.077901292E0,-7.722307163E-2,8.105872633E-2,9.809360899E0
2.087887292E0,-7.724991401E-2,8.099011291E-2,9.809361484E0
2.097873292E0,-7.723406257E-2,8.105121631E-2,9.809360899E0
2.107859292E0,-7.725270971E-2,8.102652096E-2,9.809360899E0
2.117845292E0,-7.727280037E-2,8.098891606E-2,9.809361484E0
2.127831292E0,-7.726812260E-2,8.089091124E-2,9.809362069E0
2.137817292E0,-7.734405418E-2,8.093097380E-2,9.809361484E0
2.147804292E0,-7.731854570E-2,8.090298939E-2,9.809361484E0
2.157790292E0,-7.733161057E-2,8.091327684E-2,9.809361484E0
2.167776292E0,-7.731255230E-2,8.089454748E-2,9.809362069E0
2.177762292E0,-7.727410686E-2,8.094275046E-2,9.809361484E0
2.187748292E0,-7.721799186E-2,8.103044042E-2,9.809361484E0
2.197734292E0,-7.718268930E-2,8.113585476E-2,9.809360899E0
2.207720292E0,-7.727303792E-2,8.115767218E-2,9.809359730E0
2.217706292E0,-7.731838125E-2,8.117827448E-2,9.809359145E0
2.227692292E0,-7.736489402E-2,8.119387924E-2,9.809359145E0
2.237678292E0,-7.738557855E-2,8.112095349E-2,9.809359145E0
2.247664292E0,-7.739633194E-2,8.108912271E-2,9.809359730E0
2.257650292E0,-7.742737700E-2,8.109052970E-2,9.809359145E0
2.267636292E0,-7.736174201E-2,8.114834405E-2,9.809359145E0
2.277622292E0,-7.735757587E-2,8.120888100E-2,9.809358560E0
2.287609292E0,-7.741778391E-2,8.121179547E-2,9.809358560E0
2.297595292E0,-7.740978967E-2,8.129989657E-2,9.809357391E0
2.307581292E0,-7.740300142E-2,8.138224181E-2,9.809356806E0
2.317567292E0,-7.736743391E-2,8.137204573E-2,9.809357391E0
2.327553292E0,-7.734729756E-2,8.140913900E-2,9.809357391E0
2.337539292E0,-7.730151569E-2,8.141020794E-2,9.809357391E0
2.347525292E0,-7.727308360E-2,8.134710370E-2,9.809358560E0
2.357511292E0,-7.726869819E-2,8.133243084E-2,9.809358560E0
2.367497292E0,-7.722332745E-2,8.130712336E-2,9.809359145E0
2.377483292E0,-7.725672053E-2,8.133660612E-2,9.809358560E0
2.387469292E0,-7.723334081E-2,8.138599682E-2,9.809358560E0
2.397455292E0,-7.721560730E-2,8.142944894E-2,9.809357976E0
2.407441292E0,-7.718970596E-2,8.144873561E-2,9.809357976E0
2.417427292E0,-7.720331901E-2,8.141780019E-2,9.809358560E0
2.427414292E0,-7.718838120E-2,8.136426162E-2,9.809359145E0
2.437400292E0,-7.718562204E-2,8.139942714E-2,9.809358560E0
2.447386292E0,-7.714218820E-2,8.145664763E-2,9.809358560E0
2.457372292E0,-7.710544210E-2,8.152976523E-2,9.809357976E0
2.467358292E0,-7.714196892E-2,8.153470796E-2,9.809357976E0
2.477344292E0,-7.713353614E-2,8.151942297E-2,9.809357976E0
2.487330292E0,-7.705843597E-2,8.153246957E-2,9.809358560E0
2.497316292E0,-7.706228234E-2,8.152447533E-2,9.809358560E0
2.507302292E0,-7.703194991E-2,8.147978067E-2,9.809359145E0
2.517288292E0,-7.713270474E-2,8.156303954E-2,9.809357391E0
2.527274292E0,-7.712831933E-2,8.159417597E-2,9.809357391E0
2.537260292E0,-7.715539925E-2,8.161149834E-2,9.809356806E0
2.547246292E0,-7.717467679E-2,8.160361374E-2,9.809356806E0
2.557232292E0,-7.717904393E-2,8.164182164E-2,9.809356806E0
2.567219292E0,-7.716089015E-2,8.167049127E-2,9.809356806E0
2.577205292E0,-7.713168148E-2,8.171125732E-2,9.809356222E0
2.587191292E0,-7.708951757E-2,8.167296720E-2,9.809357391E0
2.597177292E0,-7.702771068E-2,8.168323637E-2,9.809357391E0
2.607163292E0,-7.698644212E-2,8.164807999E-2,9.809357976E0
